# Auto-generated by scripts/build_char_frequency_from_wordlists.py
# Format: <char>\t<weight>  (corpus count + general-rank bonus)
膳	10
舒	10
苔	10
莴	10
藻	10
虞	10
裤	10
裹	10
觅	10
订	10
训	10
访	10
诞	10
诵	10
谦	10
谬	10
豕	10
貂	10
醚	10
铢	10
锥	10
陀	10
陌	10
颐	10
鸦	10
乃	9
乏	9
亘	9
仅	9
仗	9
伶	9
供	9
侣	9
傅	9
储	9
凛	9
劣	9
勾	9
勿	9
匠	9
启	9
吻	9
咎	9
哑	9
喉	9
噪	9
坠	9
垣	9
堵	9
奏	9
契	9
奖	9
奢	9
姆	9
嫁	9
嫌	9
尤	9
尧	9
岳	9
峻	9
幻	9
幼	9
徇	9
徽	9
恣	9
恤	9
恬	9
找	9
抛	9
拒	9
拓	9
拘	9
捧	9
揖	9
搜	9
敦	9
昆	9
昼	9
曳	9
柚	9
棠	9
榆	9
榴	9
槐	9
橡	9
歹	9
汪	9
沐	9
洒	9
浇	9
淹	9
溪	9
滋	9
滤	9
漠	9
潘	9
爬	9
狱	9
疲	9
盼	9
矜	9
砥	9
硅	9
磐	9
窍	9
纲	9
络	9
绩	9
耐	9
耿	9
舆	9
芪	9
茴	9
莉	9
蔗	9
蔚	9
蜀	9
衷	9
袂	9
裙	9
诈	9
详	9
诱	9
谄	9
谏	9
谐	9
贻	9
躁	9
辕	9
遁	9
郭	9
钢	9
钧	9
铅	9
链	9
镇	9
陋	9
陨	9
颓	9
馅	9
驷	9
骏	9
骤	9
鹏	9
黯	9
亨	8
伽	8
允	8
兆	8
刃	8
剩	8
劈	8
厄	8
厦	8
另	8
吏	8
呆	8
呐	8
呵	8
咀	8
售	8
唾	8
啮	8
喊	8
噜	8
圾	8
垃	8
堆	8
塘	8
姐	8
宰	8
尿	8
崖	8
嵌	8
帜	8
帷	8
庞	8
愈	8
慰	8
懈	8
戎	8
扭	8
拣	8
挡	8
挽	8
搅	8
撩	8
晴	8
晷	8
曝	8
替	8
朵	8
杖	8
杭	8
杰	8
杼	8
栉	8
栖	8
株	8
框	8
梧	8
棉	8
棍	8
楞	8
橄	8
殃	8
殚	8
沛	8
沥	8
泻	8
浊	8
浴	8
淇	8
渡	8
渣	8
湾	8
溃	8
溺	8
灶	8
灼	8
焉	8
焗	8
煌	8
煞	8
犀	8
玲	8
琅	8
琢	8
瑜	8
申	8
畜	8
畸	8
疫	8
睛	8
砌	8
砖	8
硝	8
碰	8
磊	8
磺	8
禾	8
秽	8
竟	8
笠	8
簧	8
绍	8
羡	8
耗	8
耦	8
芬	8
茧	8
荐	8
荠	8
萌	8
葭	8
藉	8
蛤	8
蝎	8
蟠	8
讼	8
谊	8
谨	8
谲	8
贞	8
购	8
赃	8
赶	8
跟	8
蹇	8
辆	8
辽	8
迈	8
述	8
逊	8
遐	8
酣	8
酵	8
钗	8
钥	8
铮	8
铵	8
铸	8
锚	8
镁	8
闳	8
阅	8
阜	8
障	8
